央视,#genre#
CCTV1综合,http://175.11.72.143:40803/608807420
CCTV2财经,http://175.11.72.143:40803/631780532
CCTV3综艺,http://175.11.72.143:40803/624878271
CCTV4中文国际,http://175.11.72.143:40803/631780421
CCTV5体育,http://175.11.72.143:40803/641886683
CCTV5+体育赛事,http://175.11.72.143:40803/641886773
CCTV6电影,http://175.11.72.143:40803/624878396
CCTV7国防军事,http://175.11.72.143:40803/673168121
CCTV8电视剧,http://175.11.72.143:40803/624878356
CCTV9纪录,http://175.11.72.143:40803/673168140
CCTV10科教,http://175.11.72.143:40803/624878405
CCTV11戏曲,http://175.11.72.143:40803/667987558
CCTV12社会与法,http://175.11.72.143:40803/673168185
CCTV13新闻,http://175.11.72.143:40803/608807423
CCTV14少儿,http://175.11.72.143:40803/624878440
CCTV15音乐,http://175.11.72.143:40803/673168223
CCTV17农业农村,http://175.11.72.143:40803/673168256
CCTV4欧洲,http://175.11.72.143:40803/608807419
CCTV4美洲,http://175.11.72.143:40803/608807416
CGTN外语纪录,http://175.11.72.143:40803/609006487
CGTN阿拉伯语,http://175.11.72.143:40803/609154345
CGTN西班牙语,http://175.11.72.143:40803/609006450
CGTN法语,http://175.11.72.143:40803/609006476
CGTN俄语,http://175.11.72.143:40803/609006446
老故事,http://175.11.72.143:40803/884121956
发现之旅,http://175.11.72.143:40803/624878970
中学生,http://175.11.72.143:40803/708869532
CGTN,http://175.11.72.143:40803/609017205
兵器科技,http://207.56.13.146:81/cdnlive/gfjs.m3u8
女性时尚,http://207.56.13.146:81/cdnlive/nxss.m3u8
世界地理,http://207.56.13.146:81/cdnlive/sjdl.m3u8
卫生健康,http://207.56.13.146:81/cdnlive/wsjk.m3u8
文化精品,http://207.56.13.146:81/cdnlive/ysjp.m3u8
第一剧场,http://207.56.13.146:81/cdnlive/dyjc.m3u8
怀旧剧场,http://207.56.13.146:81/cdnlive/hjjc.m3u8
风云剧场,http://207.56.13.146:81/cdnlive/fyjc.m3u8
风云足球,http://207.56.13.146:81/cdnlive/fyzq.m3u8
风云音乐,http://207.56.13.146:81/cdnlive/fyyy.m3u8
央视台球,http://207.56.13.146:81/cdnlive/ystq.m3u8
高尔夫网球,http://207.56.13.146:81/cdnlive/gefwq.m3u8

体育,#genre#
CCTV5体育,http://175.11.72.143:40803/641886683
CCTV5+体育赛事,http://175.11.72.143:40803/641886773
赛事最经典,http://175.11.72.143:40803/646596895
体坛名栏汇,http://175.11.72.143:40803/629943305
四海钓鱼,http://175.11.72.143:40803/637444975
陕西体育休闲频道,http://175.11.72.143:40803/956909356
24小时城市联赛轮播台,http://175.11.72.143:40803/915512915
武术世界,http://175.11.72.143:40803/958475359
快乐垂钓,http://175.11.72.143:40803/961930263
纬来体育,https://hlsz.yjjcfw.com/live/vl.m3u8?expire=1785238491&sign=0ccc3a84e6d7177e000f030cea9edcc4
Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8
beIN SPORTS XTRA,https://d9ssxzmclhfo4.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-t7en7ol3kq3sp/f881b29a-280a-4416-be20-40db0fcc0f07/3.m3u8
FIFA+,https://d2w9q46ikgrcwx.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-of5cbk3sav3w5/v1/sysdata_s_p_a_fifa_7/samsungheadend_us/latest/main/hls/playlist.m3u8
ESPN,http://41.205.93.154/ESPN/index.m3u8
NBC Sports NOW,https://d4whmvwm0rdvi.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-nbcu-linear/9ed59304-2f35-4c88-9b99-34153edef42b/4.m3u8
NHL Network,https://nhl-firetv.amagi.tv/playlist1080p.m3u8
Tennis Channel,http://89.187.179.148:826/anto.j/c9yJDcXyPe/31209

卫视,#genre#
东方卫视,http://175.11.72.143:40803/651632648
江苏卫视,http://175.11.72.143:40803/623899368
广东卫视,http://175.11.72.143:40803/608831231
北京卫视,http://175.11.72.143:40803/630287636
辽宁卫视,http://175.11.72.143:40803/630291707
河北卫视,http://175.11.72.143:40803/962042070
江西卫视,http://175.11.72.143:40803/783847495
河南卫视,http://175.11.72.143:40803/790187291
陕西卫视,http://175.11.72.143:40803/738910838
大湾区卫视,http://175.11.72.143:40803/608917627
湖北卫视,http://175.11.72.143:40803/947472496
吉林卫视,http://175.11.72.143:40803/947472500
青海卫视,http://175.11.72.143:40803/947472506
东南卫视,http://175.11.72.143:40803/849116810
海南卫视,http://175.11.72.143:40803/947472502
海峡卫视,http://175.11.72.143:40803/849119120
中国农林卫视,http://175.11.72.143:40803/956904896
兵团卫视,http://175.11.72.143:40803/956923145
宁夏卫视,http://175.11.72.143:40803/738910535
重庆卫视,http://175.11.72.143:40803/738910914
三沙卫视,http://175.11.72.143:40803/961023778
黑龙江卫视,http://175.11.72.143:40803/738906901
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
浙江卫视4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8

地方,#genre#
上海新闻综合,http://175.11.72.143:40803/651632657
上视东方影视,http://175.11.72.143:40803/617290047
上海第一财经,http://175.11.72.143:40803/608780988
南京新闻综合频道,http://175.11.72.143:40803/838109047
南京教科频道,http://175.11.72.143:40803/838153729
南京十八频道,http://175.11.72.143:40803/838151753
体育休闲频道,http://175.11.72.143:40803/626064707
